Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 63.0.3239.84,,2018-01-04 15:55:44,2018-01-04 15:57:57,"2m - 12,438s",FAILED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 1,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 15:55:45,2018-01-04 15:56:24,"39,041s",FAILED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 15:55:45,2018-01-04 15:55:51,"5,982s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 15:55:51,2018-01-04 15:55:53,"1,613s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 15:55:53,2018-01-04 15:56:24,"30,993s",FAILED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 2,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 15:56:24,2018-01-04 15:56:36,"12,096s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 15:56:24,2018-01-04 15:56:30,"6,771s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 15:56:30,2018-01-04 15:56:34,"3,936s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 15:56:34,2018-01-04 15:56:35,"0,546s",PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 15:56:35,2018-01-04 15:56:36,"0,835s",PASSED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 3,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 15:56:36,2018-01-04 15:56:47,"10,815s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 15:56:36,2018-01-04 15:56:42,"6,428s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 15:56:42,2018-01-04 15:56:45,"3,170s",PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-04 15:56:45,2018-01-04 15:56:46,"0,545s",PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 15:56:46,2018-01-04 15:56:47,"0,666s",PASSED
,,,,,,
Test Cases/NRT/TC_01_LoginOk - Iteration 4,Chrome 63.0.3239.84,Verifica il corretto comportamento della funzionalit\u00E0 di login,2018-01-04 15:56:47,2018-01-04 15:56:58,"10,922s",PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-04 15:56:47,2018-01-04 15:56:53,"6,292s",PASSED
